,_ID,TimeSt,Country,Province,City,Latitude,Longitude,POI,Distance
4809,4757487,2017-06-21 08:15:44.497,CA,ON,Toronto,43.672,-79.3791,POI3,503968.9777456182
4810,4757516,2017-06-21 21:15:45.943,CA,AB,Edmonton,53.5185,-113.6579,POI1,11787.141911503892
4811,4757576,2017-06-21 04:15:42.880,CA,ON,Ottawa,45.3804,-75.7468,POI3,170830.10699220374
4812,4757584,2017-06-21 01:15:43.250,CA,AB,Red Deer,52.2781,-113.835,POI1,142933.87635894463
4813,4757610,2017-06-21 03:15:43.370,CA,AB,Lethbridge,49.6836,-112.834,POI1,431843.62426971
4814,4757629,2017-06-21 12:15:43.120,CA,QC,Montréal,45.5378,-73.6941,POI3,10137.407068329196
4815,4757717,2017-06-21 09:15:43.380,CA,AB,Red Deer,52.2895,-113.814,POI1,141457.2022947232
4816,4757760,2017-06-21 12:15:47.723,CA,QC,Greenfield Park,45.4865,-73.4622,POI3,8984.748729770772
4817,4757768,2017-06-21 06:15:44.477,CA,ON,Kitchener,43.4381,-80.5099,POI3,597378.7433319694
4818,4757854,2017-06-21 02:15:44.587,CA,BC,Vancouver,49.293,-123.048,POI1,813357.3877841106
4819,4757875,2017-06-21 02:15:48.907,CA,AB,Edmonton,53.6095,-113.47631000000001,POI1,7069.738461802589
4820,4757960,2017-06-21 08:15:44.390,CA,QC,Gatineau,45.5408,-75.4463,POI3,146475.01137363902
4821,4758054,2017-06-21 16:15:49.230,CA,AB,Edmonton,53.6095,-113.47631000000001,POI1,7069.738461802589
4822,4758125,2017-06-21 08:15:51.307,CA,ON,Ottawa,45.3804,-75.7468,POI3,170830.10699220374
4823,4758217,2017-06-21 06:15:52.327,CA,ON,Whitby,43.9154,-78.9347,POI3,460135.8647882543
4824,4758228,2017-06-21 07:15:52.357,CA,SK,Saskatoon,52.1255,-106.591,POI1,489101.5934420793
4825,4758306,2017-06-21 16:15:52.497,CA,AB,Calgary,51.0823,-114.142,POI1,277574.4260892037
4826,4758374,2017-06-21 17:15:52.540,CA,AB,Calgary,51.0381,-114.118,POI1,282176.81687853526
4827,4758384,2017-06-21 14:15:52.320,CA,ON,Toronto,43.64377,-79.40162,POI3,506981.17733743927
4828,4758467,2017-06-21 16:15:52.367,CA,ON,Barrie,44.4015,-79.6782,POI3,496630.1951478601
4829,4758529,2017-06-21 02:15:53.077,CA,AB,Calgary,50.89243,-113.97055,POI1,296922.6231044194
4830,4758601,2017-06-21 10:15:53.663,CA,AB,Airdrie,51.259479999999996,-114.01748,POI1,256812.17823984465
4831,4758647,2017-06-21 04:15:49.537,CA,ON,North York,43.7801,-79.3479,POI3,496525.64980351715
4832,4758678,2017-06-21 08:15:50.750,CA,SK,Craik,51.04505,-105.83675,POI1,589419.4627148211
4833,4758765,2017-06-21 19:15:51.413,CA,AB,Calgary,51.03921,-113.97842,POI1,280765.58157069486
4834,4758838,2017-06-21 13:15:52.330,CA,ON,Toronto,43.7051,-79.3465,POI3,500000.87671287026
4835,4758916,2017-06-21 08:15:52.457,CA,ON,Red Lake,51.0333,-93.8333,POI1,1360883.7698971191
4836,4758942,2017-06-21 13:15:52.567,CA,AB,Calgary,51.051,-114.137,POI1,280958.86129937967
4838,4759019,2017-06-21 09:15:52.707,CA,ON,Orillia,44.6078,-79.4175,POI3,470545.08632026234
4839,4759070,2017-06-21 09:15:52.890,CA,ON,Mississauga,43.5869,-79.7559,POI3,535377.5862489453
4840,4759084,2017-06-21 06:15:53.607,CA,AB,Calgary,51.142759999999996,-114.05448999999999,POI1,270022.550221811
4841,4759150,2017-06-21 06:15:50.073,CA,AB,Edmonton,53.5105,-113.37,POI1,8616.647746434232
4842,4759167,2017-06-21 15:15:50.413,CA,QC,Laval,45.5209,-73.7762,POI3,16374.611772508531
4843,4759216,2017-06-21 22:15:51.323,CA,QC,Saint-Constant,45.3668,-73.5659,POI3,17216.20201531724
4844,4759259,2017-06-21 22:15:52.277,CA,SK,Regina,50.4518,-104.611,POI1,697520.5550436757
4845,4759303,2017-06-21 01:15:52.790,CA,ON,York,43.703,-79.512,POI3,512101.9825243789
4846,4759388,2017-06-21 18:15:53.177,CA,AB,Calgary,50.9283,-114.01914,POI1,293348.5458516767
4847,4759461,2017-06-21 02:15:53.580,CA,AB,Calgary,51.1515,-114.125,POI1,269788.844056693
4848,4759535,2017-06-21 02:15:52.457,CA,ON,Gravenhurst,44.9198,-79.3741,POI3,459697.5985534058
4850,4759642,2017-06-21 13:15:53.580,CA,ON,Mississauga,43.5869,-79.7559,POI3,535377.5862489453
4851,4759735,2017-06-21 20:15:55.687,CA,QC,Sainte-Foy,46.7823,-71.2882,POI3,224565.45711961374
4852,4759785,2017-06-21 07:15:55.140,CA,AB,Fort Mcmurray,56.7377,-111.438,POI1,377948.4819173109
4853,4759835,2017-06-21 03:15:56.727,CA,AB,Edmonton,53.442730000000005,-113.41068999999999,POI1,12527.21843589273
4854,4759894,2017-06-21 19:15:58.700,CA,AB,Calgary,51.0486,-113.968,POI1,279644.62855325855
4855,4759973,2017-06-21 10:15:58.863,CA,AB,Calgary,51.0486,-113.968,POI1,279644.62855325855
